path,eppo,source_image_id,class_index,class_name,trial_id,box_id,plant_id,growth_condition,xmin,ymin,xmax,ymax,file_size_bytes,ok,width,height,status
/content/drive/MyDrive/DeepWeeds/dataset/20160928-140314-0.jpg,DW_CHAP,20160928-140314-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,24659,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-140337-0.jpg,DW_CHAP,20160928-140337-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,22576,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-140731-0.jpg,DW_CHAP,20160928-140731-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,24307,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-140747-0.jpg,DW_CHAP,20160928-140747-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,22789,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-141107-0.jpg,DW_CHAP,20160928-141107-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,25497,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-141135-0.jpg,DW_CHAP,20160928-141135-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,26352,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-141355-0.jpg,DW_CHAP,20160928-141355-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,27299,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-141421-0.jpg,DW_CHAP,20160928-141421-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,28398,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-141437-0.jpg,DW_CHAP,20160928-141437-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,26954,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-142056-0.jpg,DW_CHAP,20160928-142056-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,27466,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-142103-0.jpg,DW_CHAP,20160928-142103-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,27408,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20160928-142110-0.jpg,DW_CHAP,20160928-142110-0,0,Chinee apple,20160928,20160928_camera0,,,,,,,27717,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20161207-110730-0.jpg,DW_CHAP,20161207-110730-0,0,Chinee apple,20161207,20161207_camera0,,,,,,,28943,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20161207-110753-0.jpg,DW_CHAP,20161207-110753-0,0,Chinee apple,20161207,20161207_camera0,,,,,,,29334,True,,,not_scanned
/content/drive/MyDrive/DeepWeeds/dataset/20161207-110822-0.jpg,DW_CHAP,20161207-110822-0,0,Chinee apple,20161207,20161207_camera0,,,,,,,29682,True,,,not_scanned
