path,ground_truth_index,ground_truth_eppo,predicted_index,predicted_eppo,correct,predicted_probability,confidence
/content/drive/MyDrive/DeepWeeds/dataset/20170728-151846-1.jpg,8,DW_NEG,4,DW_PRAC,False,0.997442,0.997442
/content/drive/MyDrive/DeepWeeds/dataset/20180109-072244-1.jpg,8,DW_NEG,6,DW_SIWE,False,0.9974138,0.9974138
/content/drive/MyDrive/DeepWeeds/dataset/20170210-150542-0.jpg,7,DW_SNWE,0,DW_CHAP,False,0.9965083,0.9965083
/content/drive/MyDrive/DeepWeeds/dataset/20170728-150426-3.jpg,8,DW_NEG,4,DW_PRAC,False,0.995259,0.995259
/content/drive/MyDrive/DeepWeeds/dataset/20170728-152245-3.jpg,8,DW_NEG,4,DW_PRAC,False,0.99518365,0.99518365
/content/drive/MyDrive/DeepWeeds/dataset/20180109-094515-2.jpg,7,DW_SNWE,0,DW_CHAP,False,0.99502337,0.99502337
/content/drive/MyDrive/DeepWeeds/dataset/20180109-080258-2.jpg,7,DW_SNWE,6,DW_SIWE,False,0.9936113,0.9936113
/content/drive/MyDrive/DeepWeeds/dataset/20171218-103116-2.jpg,8,DW_NEG,1,DW_LANT,False,0.9924799,0.9924799
/content/drive/MyDrive/DeepWeeds/dataset/20171219-113123-2.jpg,8,DW_NEG,4,DW_PRAC,False,0.99168783,0.99168783
/content/drive/MyDrive/DeepWeeds/dataset/20170728-154302-3.jpg,8,DW_NEG,4,DW_PRAC,False,0.99036473,0.99036473
/content/drive/MyDrive/DeepWeeds/dataset/20171217-184005-2.jpg,8,DW_NEG,5,DW_RUBV,False,0.9768142,0.9768142
/content/drive/MyDrive/DeepWeeds/dataset/20170906-094133-4.jpg,3,DW_PART,2,DW_PARK,False,0.97594905,0.97594905
/content/drive/MyDrive/DeepWeeds/dataset/20170728-152827-3.jpg,8,DW_NEG,4,DW_PRAC,False,0.97473675,0.97473675
/content/drive/MyDrive/DeepWeeds/dataset/20170728-151413-1.jpg,8,DW_NEG,4,DW_PRAC,False,0.97425246,0.97425246
/content/drive/MyDrive/DeepWeeds/dataset/20170704-153529-0.jpg,8,DW_NEG,7,DW_SNWE,False,0.9738003,0.9738003
/content/drive/MyDrive/DeepWeeds/dataset/20180105-093454-3.jpg,8,DW_NEG,6,DW_SIWE,False,0.97293675,0.97293675
/content/drive/MyDrive/DeepWeeds/dataset/20170728-153256-3.jpg,8,DW_NEG,4,DW_PRAC,False,0.96457845,0.96457845
/content/drive/MyDrive/DeepWeeds/dataset/20170727-144725-1.jpg,8,DW_NEG,4,DW_PRAC,False,0.96395475,0.96395475
/content/drive/MyDrive/DeepWeeds/dataset/20180105-095234-2.jpg,8,DW_NEG,6,DW_SIWE,False,0.9603171,0.9603171
/content/drive/MyDrive/DeepWeeds/dataset/20170906-130826-1.jpg,3,DW_PART,4,DW_PRAC,False,0.9591374,0.9591374
/content/drive/MyDrive/DeepWeeds/dataset/20180119-114239-1.jpg,8,DW_NEG,1,DW_LANT,False,0.9581756,0.9581756
/content/drive/MyDrive/DeepWeeds/dataset/20180322-114721-2.jpg,8,DW_NEG,2,DW_PARK,False,0.9558262,0.9558262
/content/drive/MyDrive/DeepWeeds/dataset/20180105-100314-2.jpg,8,DW_NEG,6,DW_SIWE,False,0.9535011,0.9535011
/content/drive/MyDrive/DeepWeeds/dataset/20180112-071836-2.jpg,8,DW_NEG,4,DW_PRAC,False,0.9518262,0.9518262
/content/drive/MyDrive/DeepWeeds/dataset/20170727-170437-1.jpg,8,DW_NEG,4,DW_PRAC,False,0.95102054,0.95102054
